"Ticker
","Company Name
","Exchange
","Sector L2
","20. Attributable to parent company
Year: 2019
Unit: Billions VND
","20. Attributable to parent company
Year: 2020
Unit: Billions VND
","20. Attributable to parent company
Year: 2021
Unit: Billions VND
","20. Attributable to parent company
Year: 2022
Unit: Billions VND
","20. Attributable to parent company
Year: 2023
Unit: Billions VND
","3. Net sales
Year: 2019
Unit: Billions VND
","3. Net sales
Year: 2020
Unit: Billions VND
","3. Net sales
Year: 2021
Unit: Billions VND
","3. Net sales
Year: 2022
Unit: Billions VND
","3. Net sales
Year: 2023
Unit: Billions VND
","5. Gross Profit
Year: 2019
Unit: Billions VND
","5. Gross Profit
Year: 2020
Unit: Billions VND
","5. Gross Profit
Year: 2021
Unit: Billions VND
","5. Gross Profit
Year: 2022
Unit: Billions VND
","5. Gross Profit
Year: 2023
Unit: Billions VND
","11. Operating profit/(loss)
Year: 2019
Unit: Billions VND
","11. Operating profit/(loss)
Year: 2020
Unit: Billions VND
","11. Operating profit/(loss)
Year: 2021
Unit: Billions VND
","11. Operating profit/(loss)
Year: 2022
Unit: Billions VND
","11. Operating profit/(loss)
Year: 2023
Unit: Billions VND
","18. Net profit/(loss) after tax
Year: 2019
Unit: Billions VND
","18. Net profit/(loss) after tax
Year: 2020
Unit: Billions VND
","18. Net profit/(loss) after tax
Year: 2021
Unit: Billions VND
","18. Net profit/(loss) after tax
Year: 2022
Unit: Billions VND
","18. Net profit/(loss) after tax
Year: 2023
Unit: Billions VND
","II. OWNER'S EQUITY
Year: 2019
Unit: Billions VND
","II. OWNER'S EQUITY
Year: 2020
Unit: Billions VND
","II. OWNER'S EQUITY
Year: 2021
Unit: Billions VND
","II. OWNER'S EQUITY
Year: 2022
Unit: Billions VND
","II. OWNER'S EQUITY
Year: 2023
Unit: Billions VND
","1.13. Minority interests
Year: 2019
Unit: Billions VND
","1.13. Minority interests
Year: 2020
Unit: Billions VND
","1.13. Minority interests
Year: 2021
Unit: Billions VND
","1.13. Minority interests
Year: 2022
Unit: Billions VND
","1.13. Minority interests
Year: 2023
Unit: Billions VND
"
BHN,HABECO,HOSE,Food & Beverage,540.14,656.35,304.45,464.71,336.13,9335.21,7452.59,6950.54,8401.77,7754.35,2457.16,1979.53,1696.25,2316.28,1914.56,650.53,485.11,385.09,615.37,443.85,523.13,660.59,324.17,506.2,354.68,5181.56,5735.54,4834.88,5304.85,5307.51,0.0,0.0,0.0,0.0,0.0
SBT,Thanh Thanh Cong - Bien Hoa Sugar,HOSE,Food & Beverage,364.26,586.66,821.43,739.33,564.92,12888.68,14309.2,16658.61,21253.54,25892.26,1454.54,2089.42,2379.14,2339.43,2952.03,521.96,744.9,1186.52,885.05,789.99,362.92,598.35,804.17,813.0,618.6,7601.67,8238.31,9668.88,10503.64,11133.43,0.0,0.0,0.0,0.0,0.0
SCS,Saigon Cargo Service,HOSE,Travel & Leisure,502.18,464.41,563.59,646.15,498.31,747.98,692.85,839.11,851.02,704.83,594.91,537.83,651.62,697.99,535.3,539.97,501.34,607.08,699.29,570.6,502.18,464.41,563.59,646.15,498.31,1004.25,1015.73,1249.32,1433.66,1338.79,0.0,0.0,0.0,0.0,0.0
DBC,DABACO,HOSE,Food & Beverage,305.13,1400.3,829.56,5.19,25.01,7186.76,10021.58,10812.79,11557.59,11110.0,1166.55,2557.69,1852.96,959.54,1114.24,338.94,1549.36,934.15,40.92,77.72,305.13,1400.3,829.56,5.19,25.01,3025.96,4206.96,4685.92,4641.23,4666.23,0.0,0.0,0.0,0.0,0.0
KOS,KOSY Company,HOSE,Real Estate,20.06,21.91,22.55,21.72,21.06,1062.83,1308.63,1106.57,1343.46,1315.82,81.03,78.27,50.51,146.65,145.83,27.1,53.4,43.03,38.17,31.74,20.06,21.91,22.55,21.83,21.14,1136.77,1158.68,2263.54,2285.23,2306.36,0.0,0.0,0.0,0.0,0.0
PHR,Phuoc Hoa rubber,HOSE,Chemicals,449.89,1081.92,477.51,889.44,619.71,1638.84,1631.65,1945.43,1708.58,1351.02,353.16,388.73,516.56,401.63,327.04,373.41,447.28,566.93,433.66,432.19,487.81,1125.05,513.38,929.73,661.29,2601.16,3311.29,3109.17,3439.22,3814.24,0.0,0.0,0.0,0.0,0.0
TMS,Transimex,HOSE,Industrial Goods & Services,214.64,313.31,570.61,660.74,136.96,2340.09,3418.34,6381.27,3648.09,2389.82,272.83,306.87,546.26,549.94,410.66,240.51,346.7,692.02,771.58,210.77,225.32,321.63,620.9,682.31,173.05,1947.16,2346.51,3489.92,4147.59,4768.65,0.0,0.0,0.0,0.0,0.0
SZC,Sonadezi Chau Duc,HOSE,Real Estate,134.13,186.0,323.63,197.37,218.87,329.42,432.98,713.22,858.89,817.95,177.49,233.74,451.02,309.64,350.32,156.05,212.8,392.08,242.64,266.39,134.13,186.0,323.63,197.37,218.87,1195.93,1264.24,1465.59,1534.25,1737.32,0.0,0.0,0.0,0.0,0.0
BCG,Bamboo Capital,HOSE,Financial Services,114.42,211.33,608.93,370.77,58.98,1575.88,1854.94,2589.46,4531.19,4012.16,279.04,420.26,938.99,1341.86,1199.7,189.53,334.64,1277.35,789.0,213.35,140.52,266.42,1000.34,566.8,171.08,1624.53,2963.31,8349.56,13825.23,17467.74,0.0,0.0,0.0,0.0,0.0
SJS,SJ Group,HOSE,Real Estate,104.85,30.57,64.78,119.69,185.34,695.96,1135.9,747.04,379.81,416.02,188.17,427.48,231.88,55.72,187.19,140.97,348.86,119.65,-11.64,251.48,107.23,41.94,84.19,120.65,183.77,2235.29,2153.38,2198.79,2575.44,2761.59,0.0,0.0,0.0,0.0,0.0
